id,split,strategy,seed
pep_0378,train,stratified,13
pep_0877,train,stratified,13
pep_0512,train,stratified,13
pep_0676,train,stratified,13
pep_0411,train,stratified,13
pep_0664,train,stratified,13
pep_0751,train,stratified,13
pep_0111,train,stratified,13
pep_0305,train,stratified,13
pep_0806,train,stratified,13
pep_0516,train,stratified,13
pep_0809,train,stratified,13
pep_0783,train,stratified,13
pep_0912,train,stratified,13
pep_0903,train,stratified,13
pep_0166,train,stratified,13
pep_0171,train,stratified,13
pep_0504,train,stratified,13
pep_0874,train,stratified,13
pep_0363,train,stratified,13
pep_0682,train,stratified,13
pep_0848,train,stratified,13
pep_0416,train,stratified,13
pep_0257,train,stratified,13
pep_0861,train,stratified,13
pep_0705,train,stratified,13
pep_0830,train,stratified,13
pep_0703,train,stratified,13
pep_0821,train,stratified,13
pep_0260,train,stratified,13
pep_0094,train,stratified,13
pep_0264,train,stratified,13
pep_0587,train,stratified,13
pep_0864,train,stratified,13
pep_0408,train,stratified,13
pep_0778,train,stratified,13
pep_0045,train,stratified,13
pep_0677,train,stratified,13
pep_0375,train,stratified,13
pep_0248,train,stratified,13
pep_0725,train,stratified,13
pep_0101,train,stratified,13
pep_0797,train,stratified,13
pep_0113,train,stratified,13
pep_0269,train,stratified,13
pep_0495,train,stratified,13
pep_0048,train,stratified,13
pep_0564,train,stratified,13
pep_0311,train,stratified,13
pep_0488,train,stratified,13
pep_0779,train,stratified,13
pep_0161,train,stratified,13
pep_0863,train,stratified,13
pep_0030,train,stratified,13
pep_0035,train,stratified,13
pep_0433,train,stratified,13
pep_0793,train,stratified,13
pep_0087,train,stratified,13
pep_0645,train,stratified,13
pep_0141,train,stratified,13
pep_0908,train,stratified,13
pep_0593,train,stratified,13
pep_0642,train,stratified,13
pep_0336,train,stratified,13
pep_0409,train,stratified,13
pep_0306,train,stratified,13
pep_0537,train,stratified,13
pep_0538,train,stratified,13
pep_0528,train,stratified,13
pep_0524,train,stratified,13
pep_0281,train,stratified,13
pep_0294,train,stratified,13
pep_0089,train,stratified,13
pep_0747,train,stratified,13
pep_0057,train,stratified,13
pep_0122,train,stratified,13
pep_0470,train,stratified,13
pep_0276,train,stratified,13
pep_0489,train,stratified,13
pep_0039,train,stratified,13
pep_0721,train,stratified,13
pep_0591,train,stratified,13
pep_0728,train,stratified,13
pep_0172,train,stratified,13
pep_0544,train,stratified,13
pep_0914,train,stratified,13
pep_0897,train,stratified,13
pep_0455,train,stratified,13
pep_0735,train,stratified,13
pep_0837,train,stratified,13
pep_0673,train,stratified,13
pep_0473,train,stratified,13
pep_0052,train,stratified,13
pep_0760,train,stratified,13
pep_0462,train,stratified,13
pep_0297,train,stratified,13
pep_0865,train,stratified,13
pep_0784,train,stratified,13
pep_0732,train,stratified,13
pep_0051,train,stratified,13
pep_0770,train,stratified,13
pep_0199,train,stratified,13
pep_0338,train,stratified,13
pep_0104,train,stratified,13
pep_0372,train,stratified,13
pep_0012,train,stratified,13
pep_0060,train,stratified,13
pep_0278,train,stratified,13
pep_0834,train,stratified,13
pep_0382,train,stratified,13
pep_0256,train,stratified,13
pep_0812,train,stratified,13
pep_0232,train,stratified,13
pep_0858,train,stratified,13
pep_0289,train,stratified,13
pep_0402,train,stratified,13
pep_0072,train,stratified,13
pep_0727,train,stratified,13
pep_0674,train,stratified,13
pep_0826,train,stratified,13
pep_0027,train,stratified,13
pep_0041,train,stratified,13
pep_0365,train,stratified,13
pep_0759,train,stratified,13
pep_0309,train,stratified,13
pep_0613,train,stratified,13
pep_0509,train,stratified,13
pep_0237,train,stratified,13
pep_0134,train,stratified,13
pep_0801,train,stratified,13
pep_0766,train,stratified,13
pep_0009,train,stratified,13
pep_0911,train,stratified,13
pep_0607,train,stratified,13
pep_0383,train,stratified,13
pep_0005,train,stratified,13
pep_0355,train,stratified,13
pep_0763,train,stratified,13
pep_0709,train,stratified,13
pep_0388,train,stratified,13
pep_0181,train,stratified,13
pep_0344,train,stratified,13
pep_0916,train,stratified,13
pep_0231,train,stratified,13
pep_0603,train,stratified,13
pep_0684,train,stratified,13
pep_0490,train,stratified,13
pep_0229,train,stratified,13
pep_0151,train,stratified,13
pep_0145,train,stratified,13
pep_0850,train,stratified,13
pep_0001,train,stratified,13
pep_0086,train,stratified,13
pep_0379,train,stratified,13
pep_0351,train,stratified,13
pep_0412,train,stratified,13
pep_0396,train,stratified,13
pep_0006,train,stratified,13
pep_0126,train,stratified,13
pep_0689,train,stratified,13
pep_0506,train,stratified,13
pep_0519,train,stratified,13
pep_0539,train,stratified,13
pep_0843,train,stratified,13
pep_0505,train,stratified,13
pep_0549,train,stratified,13
pep_0879,train,stratified,13
pep_0154,train,stratified,13
pep_0565,train,stratified,13
pep_0216,train,stratified,13
pep_0589,train,stratified,13
pep_0712,train,stratified,13
pep_0665,train,stratified,13
pep_0807,train,stratified,13
pep_0286,train,stratified,13
pep_0275,train,stratified,13
pep_0273,train,stratified,13
pep_0551,train,stratified,13
pep_0744,train,stratified,13
pep_0424,train,stratified,13
pep_0597,train,stratified,13
pep_0183,train,stratified,13
pep_0348,train,stratified,13
pep_0739,train,stratified,13
pep_0197,train,stratified,13
pep_0753,train,stratified,13
pep_0343,train,stratified,13
pep_0706,train,stratified,13
pep_0335,train,stratified,13
pep_0143,train,stratified,13
pep_0108,train,stratified,13
pep_0547,train,stratified,13
pep_0654,train,stratified,13
pep_0290,train,stratified,13
pep_0218,train,stratified,13
pep_0196,train,stratified,13
pep_0545,train,stratified,13
pep_0321,train,stratified,13
pep_0422,train,stratified,13
pep_0150,train,stratified,13
pep_0270,train,stratified,13
pep_0672,train,stratified,13
pep_0390,train,stratified,13
pep_0227,train,stratified,13
pep_0776,train,stratified,13
pep_0835,train,stratified,13
pep_0142,train,stratified,13
pep_0909,train,stratified,13
pep_0598,train,stratified,13
pep_0796,train,stratified,13
pep_0815,train,stratified,13
pep_0440,train,stratified,13
pep_0602,train,stratified,13
pep_0156,train,stratified,13
pep_0691,train,stratified,13
pep_0121,train,stratified,13
pep_0818,train,stratified,13
pep_0567,train,stratified,13
pep_0738,train,stratified,13
pep_0849,train,stratified,13
pep_0889,train,stratified,13
pep_0132,train,stratified,13
pep_0188,train,stratified,13
pep_0878,train,stratified,13
pep_0615,train,stratified,13
pep_0737,train,stratified,13
pep_0599,train,stratified,13
pep_0711,train,stratified,13
pep_0137,train,stratified,13
pep_0713,train,stratified,13
pep_0805,train,stratified,13
pep_0421,train,stratified,13
pep_0853,train,stratified,13
pep_0315,train,stratified,13
pep_0066,train,stratified,13
pep_0287,train,stratified,13
pep_0617,train,stratified,13
pep_0053,train,stratified,13
pep_0736,train,stratified,13
pep_0239,train,stratified,13
pep_0804,train,stratified,13
pep_0354,train,stratified,13
pep_0144,train,stratified,13
pep_0872,train,stratified,13
pep_0530,train,stratified,13
pep_0892,train,stratified,13
pep_0855,train,stratified,13
pep_0238,train,stratified,13
pep_0757,train,stratified,13
pep_0082,train,stratified,13
pep_0526,train,stratified,13
pep_0370,train,stratified,13
pep_0164,train,stratified,13
pep_0175,train,stratified,13
pep_0575,train,stratified,13
pep_0254,train,stratified,13
pep_0616,train,stratified,13
pep_0795,train,stratified,13
pep_0127,train,stratified,13
pep_0109,train,stratified,13
pep_0576,train,stratified,13
pep_0704,train,stratified,13
pep_0708,train,stratified,13
pep_0871,train,stratified,13
pep_0663,train,stratified,13
pep_0715,train,stratified,13
pep_0513,train,stratified,13
pep_0374,train,stratified,13
pep_0190,train,stratified,13
pep_0215,train,stratified,13
pep_0331,train,stratified,13
pep_0102,train,stratified,13
pep_0625,train,stratified,13
pep_0904,train,stratified,13
pep_0486,train,stratified,13
pep_0364,train,stratified,13
pep_0415,train,stratified,13
pep_0523,train,stratified,13
pep_0425,train,stratified,13
pep_0560,train,stratified,13
pep_0722,train,stratified,13
pep_0110,train,stratified,13
pep_0116,train,stratified,13
pep_0419,train,stratified,13
pep_0296,train,stratified,13
pep_0174,train,stratified,13
pep_0773,train,stratified,13
pep_0247,train,stratified,13
pep_0799,train,stratified,13
pep_0692,train,stratified,13
pep_0630,train,stratified,13
pep_0043,train,stratified,13
pep_0163,train,stratified,13
pep_0883,train,stratified,13
pep_0304,train,stratified,13
pep_0020,train,stratified,13
pep_0742,train,stratified,13
pep_0542,train,stratified,13
pep_0769,train,stratified,13
pep_0207,train,stratified,13
pep_0096,train,stratified,13
pep_0100,train,stratified,13
pep_0700,train,stratified,13
pep_0636,train,stratified,13
pep_0350,train,stratified,13
pep_0093,train,stratified,13
pep_0200,train,stratified,13
pep_0107,train,stratified,13
pep_0884,train,stratified,13
pep_0816,train,stratified,13
pep_0313,train,stratified,13
pep_0319,train,stratified,13
pep_0395,train,stratified,13
pep_0581,train,stratified,13
pep_0235,train,stratified,13
pep_0494,train,stratified,13
pep_0606,train,stratified,13
pep_0696,train,stratified,13
pep_0285,train,stratified,13
pep_0080,train,stratified,13
pep_0069,train,stratified,13
pep_0008,train,stratified,13
pep_0640,train,stratified,13
pep_0894,train,stratified,13
pep_0895,train,stratified,13
pep_0431,train,stratified,13
pep_0328,train,stratified,13
pep_0731,train,stratified,13
pep_0129,train,stratified,13
pep_0015,train,stratified,13
pep_0458,train,stratified,13
pep_0846,train,stratified,13
pep_0734,train,stratified,13
pep_0123,train,stratified,13
pep_0785,train,stratified,13
pep_0860,train,stratified,13
pep_0149,train,stratified,13
pep_0125,train,stratified,13
pep_0058,train,stratified,13
pep_0845,train,stratified,13
pep_0242,train,stratified,13
pep_0484,train,stratified,13
pep_0780,train,stratified,13
pep_0219,train,stratified,13
pep_0650,train,stratified,13
pep_0802,train,stratified,13
pep_0870,train,stratified,13
pep_0044,train,stratified,13
pep_0262,train,stratified,13
pep_0079,train,stratified,13
pep_0867,train,stratified,13
pep_0740,train,stratified,13
pep_0245,train,stratified,13
pep_0187,train,stratified,13
pep_0695,train,stratified,13
pep_0042,train,stratified,13
pep_0268,train,stratified,13
pep_0106,train,stratified,13
pep_0478,train,stratified,13
pep_0152,train,stratified,13
pep_0233,train,stratified,13
pep_0531,train,stratified,13
pep_0103,train,stratified,13
pep_0021,train,stratified,13
pep_0442,train,stratified,13
pep_0040,train,stratified,13
pep_0475,train,stratified,13
pep_0298,train,stratified,13
pep_0661,train,stratified,13
pep_0061,train,stratified,13
pep_0333,train,stratified,13
pep_0046,train,stratified,13
pep_0718,train,stratified,13
pep_0910,train,stratified,13
pep_0090,train,stratified,13
pep_0071,train,stratified,13
pep_0023,train,stratified,13
pep_0477,train,stratified,13
pep_0533,train,stratified,13
pep_0162,train,stratified,13
pep_0579,train,stratified,13
pep_0833,train,stratified,13
pep_0098,train,stratified,13
pep_0334,train,stratified,13
pep_0896,train,stratified,13
pep_0726,train,stratified,13
pep_0284,train,stratified,13
pep_0521,train,stratified,13
pep_0522,train,stratified,13
pep_0681,train,stratified,13
pep_0224,train,stratified,13
pep_0083,train,stratified,13
pep_0194,train,stratified,13
pep_0013,train,stratified,13
pep_0670,train,stratified,13
pep_0176,train,stratified,13
pep_0010,train,stratified,13
pep_0639,train,stratified,13
pep_0699,train,stratified,13
pep_0707,train,stratified,13
pep_0814,train,stratified,13
pep_0105,train,stratified,13
pep_0223,train,stratified,13
pep_0842,train,stratified,13
pep_0438,train,stratified,13
pep_0716,train,stratified,13
pep_0493,train,stratified,13
pep_0471,train,stratified,13
pep_0468,train,stratified,13
pep_0303,train,stratified,13
pep_0198,train,stratified,13
pep_0862,train,stratified,13
pep_0792,train,stratified,13
pep_0869,train,stratified,13
pep_0741,train,stratified,13
pep_0555,train,stratified,13
pep_0255,train,stratified,13
pep_0211,train,stratified,13
pep_0186,train,stratified,13
pep_0658,train,stratified,13
pep_0808,train,stratified,13
pep_0464,train,stratified,13
pep_0367,train,stratified,13
pep_0031,train,stratified,13
pep_0827,train,stratified,13
pep_0091,train,stratified,13
pep_0124,train,stratified,13
pep_0720,train,stratified,13
pep_0620,train,stratified,13
pep_0724,train,stratified,13
pep_0427,train,stratified,13
pep_0876,train,stratified,13
pep_0590,train,stratified,13
pep_0568,train,stratified,13
pep_0074,train,stratified,13
pep_0768,train,stratified,13
pep_0271,train,stratified,13
pep_0794,train,stratified,13
pep_0324,train,stratified,13
pep_0445,train,stratified,13
pep_0656,train,stratified,13
pep_0138,train,stratified,13
pep_0660,train,stratified,13
pep_0088,train,stratified,13
pep_0774,train,stratified,13
pep_0479,train,stratified,13
pep_0228,train,stratified,13
pep_0403,train,stratified,13
pep_0831,train,stratified,13
pep_0025,train,stratified,13
pep_0686,train,stratified,13
pep_0252,train,stratified,13
pep_0316,train,stratified,13
pep_0825,train,stratified,13
pep_0323,train,stratified,13
pep_0384,train,stratified,13
pep_0694,train,stratified,13
pep_0081,train,stratified,13
pep_0541,train,stratified,13
pep_0574,train,stratified,13
pep_0414,train,stratified,13
pep_0441,train,stratified,13
pep_0790,train,stratified,13
pep_0114,train,stratified,13
pep_0758,train,stratified,13
pep_0847,train,stratified,13
pep_0614,train,stratified,13
pep_0497,train,stratified,13
pep_0097,train,stratified,13
pep_0917,train,stratified,13
pep_0180,train,stratified,13
pep_0557,train,stratified,13
pep_0217,train,stratified,13
pep_0329,train,stratified,13
pep_0600,train,stratified,13
pep_0246,train,stratified,13
pep_0369,train,stratified,13
pep_0112,train,stratified,13
pep_0817,train,stratified,13
pep_0813,train,stratified,13
pep_0476,train,stratified,13
pep_0881,train,stratified,13
pep_0733,train,stratified,13
pep_0891,train,stratified,13
pep_0552,train,stratified,13
pep_0920,train,stratified,13
pep_0791,train,stratified,13
pep_0054,train,stratified,13
pep_0236,train,stratified,13
pep_0272,train,stratified,13
pep_0067,train,stratified,13
pep_0781,train,stratified,13
pep_0312,train,stratified,13
pep_0386,train,stratified,13
pep_0279,train,stratified,13
pep_0450,train,stratified,13
pep_0619,val,stratified,13
pep_0610,val,stratified,13
pep_0771,val,stratified,13
pep_0810,val,stratified,13
pep_0002,val,stratified,13
pep_0688,val,stratified,13
pep_0824,val,stratified,13
pep_0675,val,stratified,13
pep_0063,val,stratified,13
pep_0418,val,stratified,13
pep_0890,val,stratified,13
pep_0648,val,stratified,13
pep_0451,val,stratified,13
pep_0491,val,stratified,13
pep_0868,val,stratified,13
pep_0667,val,stratified,13
pep_0756,val,stratified,13
pep_0866,val,stratified,13
pep_0398,val,stratified,13
pep_0885,val,stratified,13
pep_0214,val,stratified,13
pep_0823,val,stratified,13
pep_0179,val,stratified,13
pep_0204,val,stratified,13
pep_0856,val,stratified,13
pep_0062,val,stratified,13
pep_0635,val,stratified,13
pep_0875,val,stratified,13
pep_0723,val,stratified,13
pep_0583,val,stratified,13
pep_0295,val,stratified,13
pep_0765,val,stratified,13
pep_0443,val,stratified,13
pep_0899,val,stratified,13
pep_0902,val,stratified,13
pep_0406,val,stratified,13
pep_0702,val,stratified,13
pep_0139,val,stratified,13
pep_0342,val,stratified,13
pep_0357,val,stratified,13
pep_0659,val,stratified,13
pep_0274,val,stratified,13
pep_0743,val,stratified,13
pep_0050,val,stratified,13
pep_0714,val,stratified,13
pep_0340,val,stratified,13
pep_0629,val,stratified,13
pep_0428,val,stratified,13
pep_0202,val,stratified,13
pep_0472,val,stratified,13
pep_0147,val,stratified,13
pep_0687,val,stratified,13
pep_0838,val,stratified,13
pep_0347,val,stratified,13
pep_0352,val,stratified,13
pep_0777,val,stratified,13
pep_0646,val,stratified,13
pep_0393,val,stratified,13
pep_0034,val,stratified,13
pep_0653,val,stratified,13
pep_0764,val,stratified,13
pep_0307,val,stratified,13
pep_0905,val,stratified,13
pep_0595,val,stratified,13
pep_0913,val,stratified,13
pep_0918,val,stratified,13
pep_0318,val,stratified,13
pep_0028,val,stratified,13
pep_0841,val,stratified,13
pep_0192,val,stratified,13
pep_0832,val,stratified,13
pep_0077,val,stratified,13
pep_0693,val,stratified,13
pep_0157,val,stratified,13
pep_0119,val,stratified,13
pep_0376,val,stratified,13
pep_0146,val,stratified,13
pep_0501,test,stratified,13
pep_0717,test,stratified,13
pep_0037,test,stratified,13
pep_0829,test,stratified,13
pep_0697,test,stratified,13
pep_0680,test,stratified,13
pep_0772,test,stratified,13
pep_0131,test,stratified,13
pep_0550,test,stratified,13
pep_0822,test,stratified,13
pep_0752,test,stratified,13
pep_0748,test,stratified,13
pep_0573,test,stratified,13
pep_0786,test,stratified,13
pep_0024,test,stratified,13
pep_0029,test,stratified,13
pep_0683,test,stratified,13
pep_0317,test,stratified,13
pep_0387,test,stratified,13
pep_0679,test,stratified,13
pep_0133,test,stratified,13
pep_0840,test,stratified,13
pep_0436,test,stratified,13
pep_0775,test,stratified,13
pep_0480,test,stratified,13
pep_0685,test,stratified,13
pep_0371,test,stratified,13
pep_0820,test,stratified,13
pep_0413,test,stratified,13
pep_0055,test,stratified,13
pep_0417,test,stratified,13
pep_0788,test,stratified,13
pep_0448,test,stratified,13
pep_0854,test,stratified,13
pep_0314,test,stratified,13
pep_0283,test,stratified,13
pep_0851,test,stratified,13
pep_0678,test,stratified,13
pep_0556,test,stratified,13
pep_0026,test,stratified,13
pep_0906,test,stratified,13
pep_0609,test,stratified,13
pep_0638,test,stratified,13
pep_0178,test,stratified,13
pep_0302,test,stratified,13
pep_0259,test,stratified,13
pep_0353,test,stratified,13
pep_0888,test,stratified,13
pep_0482,test,stratified,13
pep_0811,test,stratified,13
pep_0800,test,stratified,13
pep_0447,test,stratified,13
pep_0404,test,stratified,13
pep_0047,test,stratified,13
pep_0719,test,stratified,13
pep_0690,test,stratified,13
pep_0844,test,stratified,13
pep_0762,test,stratified,13
pep_0177,test,stratified,13
pep_0787,test,stratified,13
pep_0819,test,stratified,13
pep_0159,test,stratified,13
pep_0377,test,stratified,13
pep_0022,test,stratified,13
pep_0359,test,stratified,13
pep_0059,test,stratified,13
pep_0423,test,stratified,13
pep_0004,test,stratified,13
pep_0453,test,stratified,13
pep_0182,test,stratified,13
pep_0746,test,stratified,13
pep_0361,test,stratified,13
pep_0873,test,stratified,13
pep_0407,test,stratified,13
pep_0474,test,stratified,13
pep_0608,test,stratified,13
pep_0755,test,stratified,13
